block_height,block_index,total,fees,size,gas_limit,gas_used,gas_price,gas_tip_cap,gas_fee_cap,confirmed,received,ver,double_spend,vin_sz,vout_sz,confirmations,confidence,Label
6282774,278,2.00E+17,2.10E+14,111,200000,21000,10000000000,10000000000,10000000000,1536208469,1536208380,0,0,1,1,8506368,1,1
6283242,126,1.00E+17,2.10E+14,110,60000,21000,10000000000,10000000000,10000000000,1536215083,1536215048,0,0,1,1,8505900,1,1
6284745,45,2.00E+17,1.05E+14,110,60000,21000,5000000000,5000000000,5000000000,1536236743,1536236736,0,0,1,1,8504397,1,1
6284839,120,3.80E+17,1.08E+14,110,60000,21000,5125000000,5125000000,5125000000,1536237964,1536237931,0,0,1,1,8504303,1,1
6285025,28,9.00E+16,8.40E+13,109,60000,21000,4000000000,4000000000,4000000000,1536240429,1536240431,0,0,1,1,8504117,1,1
6285327,96,3.00E+17,2.10E+14,111,200000,21000,10000000000,10000000000,10000000000,1536244971,1536244813,0,0,1,1,8503815,1,1
6285838,242,1.00E+17,1.05E+14,111,21000,21000,5000000000,5000000000,5000000000,1536252717,1536252703,0,0,1,1,8503304,1,1
6285902,165,5.50E+18,1.64E+14,110,60000,21000,7812500000,7812500000,7812500000,1536253743,1536253734,0,0,1,1,8503240,1,1
6286092,239,1.00E+18,8.40E+13,110,21000,21000,4000000000,4000000000,4000000000,1536256376,1536256351,0,0,1,1,8503050,1,1
6286208,131,1.80E+18,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536258105,1536258097,0,0,1,1,8502934,1,1
6286368,111,1.20E+19,1.28E+14,110,60000,21000,6117968750,6117968750,6117968750,1536260580,1536260553,0,0,1,1,8502774,1,1
6286369,14,1.55E+18,4.30E+14,110,60000,21000,20476562500,20476562500,20476562500,1536260588,1536260581,0,0,1,1,8502773,1,1
6286553,159,4.60E+18,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536262882,1536262819,0,0,1,1,8502589,1,1
6286878,112,6.50E+18,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536267472,1536267463,0,0,1,1,8502264,1,1
6287003,317,1.00E+17,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536269240,1536269210,0,0,1,1,8502139,1,1
6287230,295,2.60E+18,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536272481,1536272455,0,0,1,1,8501912,1,1
6287564,64,2.77E+18,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536277115,1536277111,0,0,1,1,8501578,1,1
6288280,214,1.20E+17,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536287884,1536287881,0,0,1,1,8500862,1,1
6288372,49,8.90E+17,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536289144,1536289110,0,0,1,1,8500770,1,1
6290227,45,1.01E+17,3.86E+14,110,60000,21000,18380000000,18380000000,18380000000,1536316234,1536316230,0,0,1,1,8498915,1,1
6290742,43,6.90E+17,6.72E+14,110,60000,21000,32000000000,32000000000,32000000000,1536323882,1536323866,0,0,1,1,8498401,1,1
6290986,29,1.29E+18,3.88E+14,110,60000,21000,18496946176,18496946176,18496946176,1536327649,1536327649,0,0,1,1,8498157,1,1
6291958,15,1.00E+18,2.10E+14,111,200000,21000,10000000000,10000000000,10000000000,1536341737,1536341733,0,0,1,1,8497185,1,1
6292082,184,1.00E+17,9.45E+13,110,25200,21000,4500000000,4500000000,4500000000,1536343455,1536343452,0,0,1,1,8497061,1,1
6292105,31,1.90E+18,2.10E+14,111,200000,21000,10000000000,10000000000,10000000000,1536343815,1536343808,0,0,1,1,8497038,1,1
6292417,273,6.00E+18,8.84E+13,109,60000,21000,4210664937,4210664937,4210664937,1536348565,1536348443,0,0,1,1,8496726,1,1
6292544,185,9.40E+16,1.05E+14,110,60000,21000,5000000000,5000000000,5000000000,1536350230,1536350230,0,0,1,1,8496599,1,1
6292558,175,2.54E+15,1.05E+14,109,60000,21000,5000000000,5000000000,5000000000,1536350429,1536350417,0,0,1,1,8496585,1,1
6292581,225,5.60E+17,1.05E+14,110,25200,21000,5000000000,5000000000,5000000000,1536350783,1536350776,0,0,1,1,8496562,1,1
6292673,251,1.00E+17,7.16E+13,109,60000,21000,3410000000,3410000000,3410000000,1536352096,1536352020,0,0,1,1,8496470,1,1
6292806,285,7.70E+17,7.16E+13,109,60000,21000,3410000000,3410000000,3410000000,1536354057,1536354011,0,0,1,1,8496337,1,1
6293234,84,1.43E+18,1.13E+14,110,60000,21000,5400000000,5400000000,5400000000,1536360366,1536360360,0,0,1,1,8495909,1,1
6294008,223,1.00E+17,1.12E+14,110,25200,21000,5350000000,5350000000,5350000000,1536371349,1536371332,0,0,1,1,8495135,1,1
6294439,37,9.96E+16,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536377457,1536377456,0,0,1,1,8494704,1,1
5632067,88,9.50E+17,8.61E+14,111,200000,21000,41000000000,41000000000,41000000000,1526566987,1526566967,0,0,1,1,9157297,1,1
